0.00000000,0.58800012,0.62204629,0.58401239,0.83201182,0.67196584,0.43430129,0.49221057,0.57959455,1.03313851
0.58800012,0.00000000,1.21004641,0.23735529,1.42001200,1.25996590,0.42568943,1.08021069,0.58820641,1.62113869
0.62204629,1.21004641,0.00000000,1.20605874,1.10199630,0.19113857,0.81893468,0.79014963,1.14479244,0.85195339
0.58401239,0.23735529,1.20605874,0.00000000,1.41602421,1.25597823,0.66304475,1.07622302,0.41169244,1.61715102
0.83201182,1.42001200,1.10199630,1.41602421,0.00000000,0.91085780,1.02890027,0.33980128,1.00433183,0.25004295
0.67196584,1.25996590,0.19113857,1.25597823,0.91085780,0.00000000,0.86885428,0.59901106,0.95365387,0.66081482
0.43430129,0.42568943,0.81893468,0.66304475,1.02890027,0.86885428,0.00000000,0.68909895,1.01389587,1.23002696
0.49221057,1.08021069,0.79014963,1.07622302,0.33980128,0.59901106,0.68909895,0.00000000,0.66453052,0.54092801
0.57959455,0.58820641,1.14479244,0.41169244,1.00433183,0.95365387,1.01389587,0.66453052,0.00000000,1.20545852
1.03313851,1.62113869,0.85195339,1.61715102,0.25004295,0.66081482,1.23002696,0.54092801,1.20545852,0.00000000
